DOI,Link
"10.1109/PIC.2018.8706335","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065921665&doi=10.1109%2fPIC.2018.8706335&partnerID=40&md5=ad76398694bbe6479a0123d741b4934a"
"10.4132/jptm.2019.02.22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066491607&doi=10.4132%2fjptm.2019.02.22&partnerID=40&md5=651d2a58138aa2e44f6d2276d41b1822"
"10.6004/jnccn.2019.5019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066466704&doi=10.6004%2fjnccn.2019.5019&partnerID=40&md5=53a19ef5bfa776eea2e0be9bc5da4b85"
,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067854332&partnerID=40&md5=32074f63b026f06733caa8ea240ac42f"
"10.1007/s10238-019-00545-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060341684&doi=10.1007%2fs10238-019-00545-y&partnerID=40&md5=a7bef7f2f6f72ccee0453092265aa8d0"
"10.1097/MD.0000000000015450","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065523956&doi=10.1097%2fMD.0000000000015450&partnerID=40&md5=baa8f6aa70024f9a905c03e0b995e6b8"
"10.1109/AICAI.2019.8701251","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065612050&doi=10.1109%2fAICAI.2019.8701251&partnerID=40&md5=5735078d7bae65b85b318596a702ef6f"
"10.1186/s13045-019-0729-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064810346&doi=10.1186%2fs13045-019-0729-2&partnerID=40&md5=69cc42cf6caee176d8d6c0e010b79ee8"
"10.1145/3319008.3319021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064727770&doi=10.1145%2f3319008.3319021&partnerID=40&md5=3f852bd09c35faa5126a697e7edb514d"
"10.1007/s10689-018-00118-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059566250&doi=10.1007%2fs10689-018-00118-0&partnerID=40&md5=085d7a786b398d2d1e3e775da82422a4"
"10.1007/s11011-018-0351-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058855920&doi=10.1007%2fs11011-018-0351-y&partnerID=40&md5=68c19812c765b55e63dba88a34018b55"
"10.1186/s12885-019-5535-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063793345&doi=10.1186%2fs12885-019-5535-2&partnerID=40&md5=6d06376187aeeea723dbb75fd25d319e"
"10.1002/spe.2629","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052381628&doi=10.1002%2fspe.2629&partnerID=40&md5=c14bb524a94422bdb438872a46cedfed"
"10.7544/issn1000-1239.2019.20180037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067620371&doi=10.7544%2fissn1000-1239.2019.20180037&partnerID=40&md5=5d088b08764f14a9a4504e14c4edec69"
"10.1109/ICST.2019.00021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067933235&doi=10.1109%2fICST.2019.00021&partnerID=40&md5=80a7a5938e18baee954e7d55bcbfecdd"
"10.1109/ICST.2019.00025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067997104&doi=10.1109%2fICST.2019.00025&partnerID=40&md5=3498fb2220e99e2e7f0b95608b4c0f09"
"10.1634/theoncologist.2018-0254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056752047&doi=10.1634%2ftheoncologist.2018-0254&partnerID=40&md5=6912ebeb54103efc20b05c686611e007"
"10.1109/ICSTW.2019.00039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068370420&doi=10.1109%2fICSTW.2019.00039&partnerID=40&md5=96562f1f9b357418dd4a4e4939a3e590"
"10.1109/ICSTW.2019.00037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068399377&doi=10.1109%2fICSTW.2019.00037&partnerID=40&md5=ccf455af21d4fc31611cbfcf9fbc07bc"
"10.1109/ICSTW.2019.00036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068424939&doi=10.1109%2fICSTW.2019.00036&partnerID=40&md5=d15e3a767451b610edd158025ebe3fc6"
"10.1109/ICSTW.2019.00038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068395304&doi=10.1109%2fICSTW.2019.00038&partnerID=40&md5=4ef006a6743cb5e2117a87062b5e04b9"
,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067952667&partnerID=40&md5=d1437aa5815a51c44c598b433e251aca"
"10.21037/jtd.2019.03.95","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065411591&doi=10.21037%2fjtd.2019.03.95&partnerID=40&md5=64e224fdb951be20910f55f50438ca78"
"10.1109/VTS.2019.8758641","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069199714&doi=10.1109%2fVTS.2019.8758641&partnerID=40&md5=6ae9271afcbdac0e1d59021336c10de3"
"10.1109/ICSTW.2019.00035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068362680&doi=10.1109%2fICSTW.2019.00035&partnerID=40&md5=69819c3347bfa1aeff51a7e71cf03c7b"
"10.1111/1759-7714.13014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062347934&doi=10.1111%2f1759-7714.13014&partnerID=40&md5=3f11751a6d114ee9008f1b5524e05e83"
"10.1016/j.ygyno.2019.01.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060515247&doi=10.1016%2fj.ygyno.2019.01.018&partnerID=40&md5=9cee19b96657044128c44f91d6c2305a"
"10.1097/AOG.0000000000003171","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063934515&doi=10.1097%2fAOG.0000000000003171&partnerID=40&md5=8f95b45bc0d6f67f3001860721ff4e48"
"10.1016/j.clml.2019.01.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061373041&doi=10.1016%2fj.clml.2019.01.005&partnerID=40&md5=b2c3f257d9c793799defd722cde71188"
"10.1145/3326172.3326176","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069151801&doi=10.1145%2f3326172.3326176&partnerID=40&md5=e82867b81e4bf76886061da6f4bc4e32"
"10.1109/SANER.2019.8668040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064157714&doi=10.1109%2fSANER.2019.8668040&partnerID=40&md5=02a8b06c8be6d411d5046455be6ec9e6"
"10.1109/IBCAST.2019.8667222","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064140355&doi=10.1109%2fIBCAST.2019.8667222&partnerID=40&md5=3dda50d228c53c3b1c74c6b31a4debe4"
"10.1055/a-0842-6661","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062861912&doi=10.1055%2fa-0842-6661&partnerID=40&md5=be83692e72ca639d5db0aee0018376b0"
"10.1016/j.ygyno.2018.10.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055634428&doi=10.1016%2fj.ygyno.2018.10.014&partnerID=40&md5=101a361d8dac11994b961d327099512d"
"10.1002/cncr.31856","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057339444&doi=10.1002%2fcncr.31856&partnerID=40&md5=51030977352370fc604e2fe6532a6b6d"
"10.1016/j.ejrad.2019.01.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059819327&doi=10.1016%2fj.ejrad.2019.01.005&partnerID=40&md5=304ead4dd1664fc996058aff9af3bdc8"
"10.1016/j.jmoldx.2018.10.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061494232&doi=10.1016%2fj.jmoldx.2018.10.005&partnerID=40&md5=bb46add507bf8bb7e0fdd70094a84e07"
"10.1111/resp.13463","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059891448&doi=10.1111%2fresp.13463&partnerID=40&md5=57234e75c36da44d122f25f29dc8ad06"
"10.1634/theoncologist.2018-0314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060146661&doi=10.1634%2ftheoncologist.2018-0314&partnerID=40&md5=22fc1c74ee8f7f1e8d93adb63ec4aa7b"
"10.1108/IJHG-09-2018-0045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058140071&doi=10.1108%2fIJHG-09-2018-0045&partnerID=40&md5=5352c0cf9ba11dd90be89b678726547a"
"10.1109/CONISOFT.2018.8645883","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063129865&doi=10.1109%2fCONISOFT.2018.8645883&partnerID=40&md5=c92fbb8efef6166ea97b725626539b40"
"10.1145/3299771.3299781","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062331395&doi=10.1145%2f3299771.3299781&partnerID=40&md5=e6a2c5acf6ea41842272fee2a6d68053"
"10.1093/ajcp/aqy142","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061003617&doi=10.1093%2fajcp%2faqy142&partnerID=40&md5=b351c2b7648d8ff1c80fb2cebaf5a44a"
"10.1109/KBEI.2019.8735019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068330463&doi=10.1109%2fKBEI.2019.8735019&partnerID=40&md5=77a880c2700e0891f2ede1bb28a83fb7"
"10.1016/j.prp.2018.10.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055747655&doi=10.1016%2fj.prp.2018.10.028&partnerID=40&md5=d98b86e8cf3ab98caeaf3ab987bf2216"
"10.1136/jclinpath-2018-205527","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058066949&doi=10.1136%2fjclinpath-2018-205527&partnerID=40&md5=6af5a94e19ddc1baa77674e2bd51ac91"
"10.1016/j.eswa.2018.09.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053335230&doi=10.1016%2fj.eswa.2018.09.003&partnerID=40&md5=2190e81695c12b54918d8bd2b03bde0f"
"10.1158/1055-9965.EPI-18-0584","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061154821&doi=10.1158%2f1055-9965.EPI-18-0584&partnerID=40&md5=506246b116b115bf2b6fd021f2e27304"
"10.1016/j.urology.2018.11.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057853221&doi=10.1016%2fj.urology.2018.11.013&partnerID=40&md5=a60144b569830915c54083add6fd0901"
"10.1136/jclinpath-2018-205471","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056582900&doi=10.1136%2fjclinpath-2018-205471&partnerID=40&md5=fc989fb0f75b9f13c34a1544003ec373"
"10.1556/650.2019.31290","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061151463&doi=10.1556%2f650.2019.31290&partnerID=40&md5=c27b3ed7495455e09f80484954c9368a"
"10.5858/arpa.2017-0471-OA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060383921&doi=10.5858%2farpa.2017-0471-OA&partnerID=40&md5=989e470837a3ce5e1fb5d625ff45798f"
"10.1016/j.lungcan.2018.12.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058522527&doi=10.1016%2fj.lungcan.2018.12.010&partnerID=40&md5=2e6ae679beaa6d41300fb4326c16f969"
"10.1007/s00277-018-3499-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053929122&doi=10.1007%2fs00277-018-3499-y&partnerID=40&md5=0453c12fcfd49ff2bbb59be965418bbb"
"10.1007/s10549-018-5000-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055255493&doi=10.1007%2fs10549-018-5000-y&partnerID=40&md5=964383252b1f2797eb1e84ca634619d3"
"10.1109/BigData.2018.8622248","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062634173&doi=10.1109%2fBigData.2018.8622248&partnerID=40&md5=a47b021ed56e92f35103c78ac56e3eb0"
"10.1007/s00428-018-2480-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056251099&doi=10.1007%2fs00428-018-2480-4&partnerID=40&md5=7e95b83a37468dcd59e22f383924b20c"
"10.1186/s13053-019-0105-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060393030&doi=10.1186%2fs13053-019-0105-9&partnerID=40&md5=11284c41d72bf51133dfb83f192d6670"
"10.1109/FIT.2018.00013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062402173&doi=10.1109%2fFIT.2018.00013&partnerID=40&md5=ecbb17486b820a904330457be1a394da"
"10.1109/SMC.2018.00457","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062208450&doi=10.1109%2fSMC.2018.00457&partnerID=40&md5=562ca5d79a6d61575c552ce134b7576e"
,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062407464&partnerID=40&md5=5338f0df8287098c9861407ecf4c8ab2"
"10.1007/s12253-017-0352-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033449014&doi=10.1007%2fs12253-017-0352-x&partnerID=40&md5=97fd3f2616f6853bf9542541b12c756e"
"10.1007/978-981-13-0224-4_11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050376628&doi=10.1007%2f978-981-13-0224-4_11&partnerID=40&md5=385c023dcf609efb48bd13ffe26cee0d"
"10.1016/j.jksuci.2019.05.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065907126&doi=10.1016%2fj.jksuci.2019.05.004&partnerID=40&md5=97ab9f55b12058eff4c195de93c37aa6"
"10.1016/bs.adcom.2018.03.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044463066&doi=10.1016%2fbs.adcom.2018.03.015&partnerID=40&md5=18ca0a7364b9541617c859c07ecb66ee"
"10.1007/978-3-030-16202-3_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064037544&doi=10.1007%2f978-3-030-16202-3_3&partnerID=40&md5=a9ebd6226d5a7642b5e7bc9136aa6b3e"
"10.1007/978-981-13-1595-4_68","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056266458&doi=10.1007%2f978-981-13-1595-4_68&partnerID=40&md5=1af00ef0bbfe208aa1abecb12abbefb7"
,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065764383&partnerID=40&md5=d111ea43109ea24012f17bba019bd8f3"
"10.1007/978-3-319-91446-6_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048038216&doi=10.1007%2f978-3-319-91446-6_5&partnerID=40&md5=72da942360e13606cbf57f87f054ee9c"
"10.1007/978-3-030-24305-0_39","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068602195&doi=10.1007%2f978-3-030-24305-0_39&partnerID=40&md5=030ac1554531c69709cb29749c550597"
"10.1007/978-3-319-99996-8_31","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053267097&doi=10.1007%2f978-3-319-99996-8_31&partnerID=40&md5=1d809bdab7e1cc03b737aa56500a7337"
"10.1007/978-3-030-20521-8_63","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067487997&doi=10.1007%2f978-3-030-20521-8_63&partnerID=40&md5=9ea6c4ab19d9ec7f5478120e4be73400"
"10.11897/SP.J.1016.2019.00044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064521690&doi=10.11897%2fSP.J.1016.2019.00044&partnerID=40&md5=357a62346e27f32fbe52ddb05322d606"
"10.1504/IJAIP.2019.098563","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063724410&doi=10.1504%2fIJAIP.2019.098563&partnerID=40&md5=0b22d15155d4f56bc8356ce6add66037"
"10.1007/978-3-030-04324-7_53","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061089434&doi=10.1007%2f978-3-030-04324-7_53&partnerID=40&md5=3dd33705240f93ecd9bede172f5a3b6c"
"10.1097/PGP.0000000000000579","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060821379&doi=10.1097%2fPGP.0000000000000579&partnerID=40&md5=c9e730fa72604ebf3511808841d05798"
"10.1007/978-981-10-8848-3_33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049078659&doi=10.1007%2f978-981-10-8848-3_33&partnerID=40&md5=515259bb806ab55dc8a4c0f05685ada0"
